epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,4552.59,1.32941,0.8971,1.41155,0.7616,0.73933,0.74799,0.41887,1.49222,0.98861,1.71038,0.0060004,0.0060004,0.0060004
103,4596.81,1.34775,0.90529,1.41575,0.75249,0.7445,0.74966,0.41662,1.48006,0.97028,1.68059,0.0059608,0.0059608,0.0059608
104,4640.82,1.33084,0.89263,1.41133,0.76555,0.73057,0.74271,0.42022,1.47046,0.97141,1.68537,0.0059212,0.0059212,0.0059212
105,4684.93,1.34186,0.89927,1.41936,0.78915,0.70875,0.74492,0.42746,1.45857,0.97296,1.6793,0.0058816,0.0058816,0.0058816
106,4729.11,1.31677,0.88621,1.40812,0.76211,0.73816,0.75843,0.43685,1.45527,0.94703,1.67318,0.005842,0.005842,0.005842
107,4773.37,1.31343,0.88074,1.40224,0.76984,0.73699,0.75778,0.43414,1.46306,0.95574,1.68819,0.0058024,0.0058024,0.0058024
108,4817.51,1.312,0.88036,1.39828,0.76464,0.75572,0.75425,0.43019,1.43892,0.94042,1.66143,0.0057628,0.0057628,0.0057628
109,4861.67,1.29595,0.86745,1.38591,0.77101,0.75174,0.75134,0.44019,1.43656,0.93831,1.66575,0.0057232,0.0057232,0.0057232
110,4905.78,1.28184,0.86141,1.3819,0.76475,0.7481,0.75897,0.44318,1.43799,0.95178,1.66441,0.0056836,0.0056836,0.0056836
111,4949.94,1.30628,0.87544,1.39124,0.76607,0.74645,0.75503,0.44152,1.43017,0.9341,1.65187,0.005644,0.005644,0.005644
112,4994.04,1.30441,0.88104,1.39781,0.79044,0.737,0.7653,0.44384,1.42485,0.93966,1.63902,0.0056044,0.0056044,0.0056044
113,5038.16,1.29375,0.86811,1.3857,0.76877,0.75395,0.76169,0.44357,1.43372,0.93146,1.66199,0.0055648,0.0055648,0.0055648
114,5082.28,1.28573,0.86692,1.3901,0.76334,0.77104,0.76954,0.44908,1.41923,0.92163,1.65824,0.0055252,0.0055252,0.0055252
115,5126.58,1.27408,0.86163,1.37293,0.76709,0.75456,0.76259,0.45112,1.40784,0.92574,1.64607,0.0054856,0.0054856,0.0054856
116,5170.76,1.27804,0.86519,1.38957,0.77391,0.72881,0.75428,0.45016,1.40272,0.93737,1.63992,0.005446,0.005446,0.005446
117,5214.95,1.25871,0.84471,1.3673,0.77021,0.74693,0.76562,0.45071,1.3977,0.92501,1.6276,0.0054064,0.0054064,0.0054064
118,5259.09,1.27217,0.84735,1.37559,0.7837,0.75395,0.76909,0.45544,1.38258,0.91018,1.62052,0.0053668,0.0053668,0.0053668
119,5303.19,1.25864,0.84383,1.35656,0.8127,0.73524,0.76554,0.45718,1.38735,0.92403,1.62665,0.0053272,0.0053272,0.0053272
120,5347.35,1.2435,0.82881,1.3445,0.77774,0.7649,0.76185,0.45488,1.38059,0.93007,1.61101,0.0052876,0.0052876,0.0052876
121,5391.47,1.25556,0.82405,1.35499,0.7804,0.76851,0.76658,0.4586,1.38685,0.91514,1.63565,0.005248,0.005248,0.005248
122,5435.63,1.2341,0.82412,1.34595,0.7964,0.76563,0.77249,0.46452,1.36801,0.89475,1.62554,0.0052084,0.0052084,0.0052084
123,5479.72,1.24592,0.83081,1.34255,0.77781,0.7693,0.76869,0.46616,1.37454,0.90302,1.61694,0.0051688,0.0051688,0.0051688
124,5523.87,1.2414,0.81787,1.35104,0.77795,0.76271,0.77183,0.46745,1.36448,0.9096,1.60953,0.0051292,0.0051292,0.0051292
125,5568.08,1.22015,0.81905,1.33175,0.79091,0.76051,0.77474,0.47335,1.35322,0.90433,1.61075,0.0050896,0.0050896,0.0050896
126,5612.22,1.21726,0.80967,1.32498,0.80496,0.75741,0.77572,0.47478,1.3445,0.89445,1.61826,0.00505,0.00505,0.00505
127,5656.51,1.21759,0.80965,1.32467,0.79052,0.76976,0.77882,0.47658,1.3415,0.89787,1.59794,0.0050104,0.0050104,0.0050104
128,5700.65,1.22142,0.804,1.32961,0.81946,0.75687,0.77293,0.47086,1.3413,0.88668,1.59561,0.0049708,0.0049708,0.0049708
129,5744.83,1.19833,0.80033,1.32154,0.81016,0.75823,0.77225,0.47854,1.31309,0.87516,1.58226,0.0049312,0.0049312,0.0049312
