epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,4156.48,1.24986,0.84536,1.33265,0.77921,0.7405,0.76317,0.43351,1.42692,0.94134,1.63324,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528
84,4206.17,1.25245,0.84147,1.34281,0.74902,0.75336,0.76383,0.43588,1.42767,0.93761,1.6345,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132
85,4256.29,1.25639,0.84657,1.33954,0.76148,0.76126,0.77375,0.45513,1.40013,0.92044,1.60385,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736
86,4306.19,1.23645,0.84196,1.31513,0.77489,0.73466,0.75247,0.4422,1.39622,0.946,1.62358,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
87,4356.08,1.23475,0.82764,1.3234,0.77147,0.76096,0.7658,0.44395,1.4028,0.945,1.60992,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
88,4413.67,1.22583,0.82284,1.3205,0.78232,0.75161,0.76898,0.44887,1.39125,0.93924,1.59848,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548
89,4463.41,1.20749,0.82031,1.31928,0.79909,0.73924,0.76882,0.45796,1.35817,0.91967,1.58012,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152
90,4512.9,1.21773,0.82242,1.31563,0.78661,0.75628,0.77676,0.46041,1.36515,0.90604,1.59898,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756
91,4562.61,1.21529,0.81736,1.30578,0.78589,0.75296,0.77764,0.46202,1.36007,0.92071,1.58124,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
92,4612.31,1.20359,0.80674,1.30086,0.81179,0.73115,0.76674,0.4586,1.35941,0.89881,1.59803,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964
93,4661.96,1.19132,0.80063,1.28788,0.78264,0.76601,0.78217,0.4683,1.34977,0.90281,1.56022,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568
94,4711.37,1.17868,0.79948,1.29417,0.81542,0.7281,0.76979,0.46646,1.35868,0.91355,1.57368,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172
95,4761.18,1.17835,0.79213,1.28961,0.8082,0.75044,0.77701,0.46806,1.32746,0.88736,1.56063,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776
96,4811.08,1.18406,0.79989,1.28805,0.784,0.76579,0.78448,0.47757,1.32275,0.87319,1.56682,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
97,4861.01,1.17427,0.78899,1.28811,0.81508,0.7481,0.78243,0.47862,1.29369,0.88641,1.53793,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984
98,4910.53,1.17045,0.78943,1.29298,0.81147,0.74985,0.78317,0.48113,1.33211,0.89405,1.57146,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588
99,4960.25,1.16389,0.774,1.27088,0.8001,0.75687,0.78136,0.48273,1.30774,0.87664,1.53958,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192
100,5010.17,1.16075,0.77503,1.26652,0.79968,0.76993,0.78754,0.48702,1.28999,0.86638,1.53511,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796
101,5060.01,1.14119,0.76101,1.26298,0.79223,0.75324,0.77869,0.48343,1.29333,0.87994,1.53607,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
102,5109.38,1.13077,0.75825,1.25408,0.80302,0.76563,0.78015,0.48319,1.29016,0.88006,1.53882,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
