epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,6572.58,0.6676,0.45598,0.92756,0.87036,0.78025,0.8233,0.64679,0.8369,0.62232,1.18034,0.0007229,0.0007229,0.0007229
131,6623.13,0.66175,0.4433,0.9237,0.86219,0.77908,0.82379,0.64797,0.83972,0.62316,1.18421,0.000713,0.000713,0.000713
132,6673.76,0.66984,0.45158,0.92453,0.86706,0.77763,0.82811,0.64943,0.83079,0.60606,1.17886,0.0007031,0.0007031,0.0007031
133,6724.38,0.65901,0.44632,0.92267,0.85318,0.79193,0.82684,0.65025,0.82736,0.61762,1.17436,0.0006932,0.0006932,0.0006932
134,6774.97,0.65522,0.44261,0.91959,0.85677,0.78843,0.81977,0.64187,0.82997,0.62242,1.1844,0.0006833,0.0006833,0.0006833
135,6825.43,0.65413,0.43436,0.91921,0.86798,0.78609,0.81792,0.6418,0.81994,0.61808,1.17162,0.0006734,0.0006734,0.0006734
136,6875.99,0.64733,0.43069,0.91913,0.86327,0.78595,0.81986,0.64646,0.82172,0.62495,1.1818,0.0006635,0.0006635,0.0006635
137,6926.56,0.65862,0.43973,0.92242,0.86914,0.78025,0.82232,0.65323,0.82497,0.62532,1.18022,0.0006536,0.0006536,0.0006536
138,6977.24,0.64677,0.43991,0.92019,0.85536,0.79148,0.82487,0.65403,0.81876,0.62743,1.17565,0.0006437,0.0006437,0.0006437
139,7028.05,0.65165,0.4363,0.9227,0.86788,0.78317,0.82511,0.65287,0.81449,0.62374,1.17794,0.0006338,0.0006338,0.0006338
140,7078.62,0.63628,0.43369,0.91908,0.86343,0.78337,0.82701,0.65394,0.82338,0.63572,1.1787,0.0006239,0.0006239,0.0006239
141,7129.17,0.64706,0.43197,0.91866,0.87033,0.78083,0.82837,0.65401,0.81076,0.61175,1.17301,0.000614,0.000614,0.000614
142,7179.71,0.64893,0.43267,0.92066,0.86848,0.78344,0.82407,0.65344,0.81314,0.60848,1.18818,0.0006041,0.0006041,0.0006041
143,7230.43,0.63889,0.42862,0.91745,0.86068,0.78349,0.81774,0.64902,0.80221,0.61933,1.17372,0.0005942,0.0005942,0.0005942
144,7281.11,0.63627,0.43663,0.91844,0.87308,0.77598,0.82491,0.65443,0.80206,0.61155,1.16375,0.0005843,0.0005843,0.0005843
145,7331.75,0.62583,0.41857,0.91242,0.88071,0.7744,0.82524,0.65688,0.80226,0.60637,1.16975,0.0005744,0.0005744,0.0005744
146,7382.47,0.62984,0.42657,0.9127,0.86003,0.79006,0.82157,0.64962,0.80655,0.61196,1.1782,0.0005645,0.0005645,0.0005645
147,7433.1,0.63951,0.42882,0.91283,0.8665,0.78434,0.82099,0.65623,0.79839,0.60468,1.16682,0.0005546,0.0005546,0.0005546
148,7483.73,0.62117,0.42336,0.90841,0.86851,0.78025,0.81874,0.65492,0.79728,0.60436,1.17891,0.0005447,0.0005447,0.0005447
149,7534.37,0.62894,0.42481,0.91561,0.86238,0.78013,0.81822,0.65457,0.79868,0.61322,1.18174,0.0005348,0.0005348,0.0005348
150,7585.04,0.6203,0.41521,0.91336,0.86328,0.77849,0.82089,0.65589,0.78809,0.60967,1.1766,0.0005249,0.0005249,0.0005249
151,7635.79,0.61426,0.42225,0.9098,0.86672,0.77732,0.82334,0.65878,0.79468,0.61722,1.18363,0.000515,0.000515,0.000515
152,7686.52,0.62116,0.42463,0.91094,0.8597,0.78072,0.82678,0.66427,0.78926,0.61641,1.17432,0.0005051,0.0005051,0.0005051
153,7737.17,0.61801,0.42181,0.90865,0.85987,0.77823,0.82727,0.66825,0.79066,0.61497,1.17564,0.0004952,0.0004952,0.0004952
154,7787.8,0.61198,0.42084,0.90497,0.86571,0.77732,0.82585,0.66572,0.78776,0.60636,1.17773,0.0004853,0.0004853,0.0004853
155,7838.46,0.61586,0.4232,0.90484,0.87304,0.77967,0.81894,0.65395,0.78267,0.6132,1.16155,0.0004754,0.0004754,0.0004754
156,7889.08,0.60188,0.41513,0.90293,0.86987,0.77849,0.8179,0.65603,0.77666,0.6171,1.15439,0.0004655,0.0004655,0.0004655
157,7939.65,0.60375,0.41274,0.90288,0.86477,0.78114,0.82016,0.66095,0.78574,0.61616,1.17112,0.0004556,0.0004556,0.0004556
