epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2539.91,1.26871,0.82519,1.20039,0.79203,0.74564,0.77663,0.43344,1.44709,0.90983,1.39769,0.0007328,0.0007328,0.0007328
66,2578.96,1.26702,0.81978,1.1984,0.77051,0.7555,0.77112,0.4317,1.45828,0.91411,1.42259,0.000713,0.000713,0.000713
67,2618.1,1.25291,0.80882,1.19785,0.78323,0.74546,0.77134,0.44121,1.41142,0.91074,1.38798,0.0006932,0.0006932,0.0006932
68,2657.13,1.24324,0.80218,1.19149,0.77774,0.74752,0.76563,0.43601,1.42155,0.91223,1.3941,0.0006734,0.0006734,0.0006734
69,2695.95,1.24555,0.80629,1.19577,0.80162,0.72648,0.77496,0.44825,1.40476,0.90757,1.3733,0.0006536,0.0006536,0.0006536
70,2734.98,1.23188,0.79376,1.18497,0.78722,0.76763,0.77435,0.43938,1.42483,0.89309,1.4004,0.0006338,0.0006338,0.0006338
71,2773.83,1.23785,0.79001,1.18573,0.78465,0.74535,0.77515,0.45268,1.40256,0.88677,1.38177,0.000614,0.000614,0.000614
72,2812.77,1.23509,0.79913,1.18498,0.78311,0.74576,0.77321,0.45115,1.39068,0.89469,1.37723,0.0005942,0.0005942,0.0005942
73,2851.86,1.22142,0.78839,1.17919,0.80243,0.75484,0.78529,0.4556,1.38387,0.87931,1.37301,0.0005744,0.0005744,0.0005744
74,2890.73,1.21546,0.78229,1.17145,0.78689,0.75099,0.76581,0.44942,1.38159,0.9021,1.37738,0.0005546,0.0005546,0.0005546
75,2929.65,1.21651,0.78141,1.17187,0.80287,0.7481,0.7748,0.45386,1.38141,0.88376,1.37459,0.0005348,0.0005348,0.0005348
76,2968.32,1.18233,0.7606,1.15303,0.79324,0.75341,0.77611,0.45266,1.38726,0.87315,1.39245,0.000515,0.000515,0.000515
77,3007.21,1.19141,0.76149,1.16486,0.79713,0.767,0.77485,0.45894,1.36118,0.86905,1.36817,0.0004952,0.0004952,0.0004952
78,3046.11,1.19446,0.77056,1.16515,0.79656,0.75921,0.77593,0.45987,1.36393,0.87444,1.37155,0.0004754,0.0004754,0.0004754
79,3085.04,1.18212,0.75153,1.1589,0.80901,0.74342,0.77367,0.46048,1.34934,0.86946,1.35951,0.0004556,0.0004556,0.0004556
80,3124.24,1.16996,0.75457,1.15835,0.80312,0.74401,0.76831,0.45889,1.34368,0.87421,1.3703,0.0004358,0.0004358,0.0004358
81,3163.08,1.17576,0.75024,1.15465,0.79526,0.74635,0.77258,0.46586,1.34324,0.88356,1.36195,0.000416,0.000416,0.000416
82,3202.05,1.16806,0.74135,1.15243,0.80431,0.74705,0.77329,0.46045,1.34328,0.86804,1.36441,0.0003962,0.0003962,0.0003962
83,3240.83,1.15116,0.74034,1.1324,0.79073,0.77265,0.77596,0.46734,1.32643,0.86816,1.34631,0.0003764,0.0003764,0.0003764
84,3279.51,1.1509,0.73065,1.13892,0.81003,0.74868,0.78468,0.47151,1.3179,0.85372,1.34758,0.0003566,0.0003566,0.0003566
85,3318.56,1.15967,0.73675,1.14206,0.80759,0.75554,0.7777,0.46952,1.31073,0.85852,1.34039,0.0003368,0.0003368,0.0003368
86,3357.13,1.13195,0.72343,1.13139,0.80432,0.76271,0.78383,0.4753,1.30465,0.85514,1.34083,0.000317,0.000317,0.000317
87,3396.17,1.14974,0.72126,1.14041,0.81115,0.75312,0.78231,0.47707,1.30329,0.8611,1.33763,0.0002972,0.0002972,0.0002972
88,3435.05,1.12255,0.7104,1.1269,0.81302,0.75395,0.77809,0.47522,1.30088,0.84997,1.34368,0.0002774,0.0002774,0.0002774
89,3474.28,1.11755,0.71119,1.13002,0.81428,0.76096,0.78521,0.48228,1.28397,0.84312,1.33283,0.0002576,0.0002576,0.0002576
90,3513.54,1.11459,0.72366,1.12508,0.81087,0.75336,0.78602,0.48174,1.29071,0.83904,1.33721,0.0002378,0.0002378,0.0002378
91,3582,1.09009,0.65358,1.11598,0.80456,0.7555,0.77583,0.47015,1.32028,0.84227,1.35132,0.000218,0.000218,0.000218
92,3620.86,1.02631,0.60109,1.09468,0.82953,0.74284,0.78057,0.47892,1.30136,0.82608,1.34461,0.0001982,0.0001982,0.0001982
93,3659.8,1.01281,0.60583,1.08949,0.82946,0.74192,0.78601,0.48342,1.28809,0.8289,1.32993,0.0001784,0.0001784,0.0001784
94,3698.57,1.01779,0.60004,1.09412,0.81472,0.75979,0.78213,0.48252,1.2821,0.8221,1.32883,0.0001586,0.0001586,0.0001586
95,3737.34,1.00914,0.59445,1.08779,0.80851,0.75979,0.78264,0.48476,1.27803,0.82636,1.33811,0.0001388,0.0001388,0.0001388
96,3776.21,0.99665,0.58889,1.08354,0.80156,0.7649,0.78235,0.48349,1.2765,0.82154,1.33156,0.000119,0.000119,0.000119
97,3815.19,0.99752,0.59006,1.08373,0.80812,0.76622,0.78382,0.4874,1.26792,0.823,1.32899,9.92e-05,9.92e-05,9.92e-05
98,3855.09,0.97422,0.57745,1.07313,0.79997,0.7744,0.78353,0.48951,1.26455,0.82175,1.32731,7.94e-05,7.94e-05,7.94e-05
99,3894.26,0.97331,0.576,1.0731,0.81243,0.76271,0.78091,0.48822,1.25946,0.82178,1.32482,5.96e-05,5.96e-05,5.96e-05
100,3933,0.96867,0.57604,1.06779,0.8158,0.761,0.7805,0.49025,1.26236,0.82157,1.32794,3.98e-05,3.98e-05,3.98e-05
