epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,9086.19,1.17155,0.75305,1.13633,0.7896,0.75395,0.77196,0.46582,1.36491,0.88277,1.32792,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,9230.79,1.17028,0.74375,1.13502,0.80136,0.75804,0.77217,0.45887,1.37024,0.87658,1.33725,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,9374.92,1.15816,0.73764,1.1228,0.78928,0.77277,0.78645,0.48123,1.3217,0.84617,1.30738,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,9518.95,1.15351,0.74267,1.12588,0.80945,0.74635,0.77293,0.4713,1.31545,0.85615,1.30916,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,9662.87,1.14225,0.7247,1.11164,0.8166,0.7668,0.792,0.48186,1.33375,0.84044,1.30814,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,9806.75,1.13901,0.73281,1.11796,0.80292,0.76563,0.78845,0.47596,1.31849,0.84869,1.30834,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,9950.89,1.13219,0.72935,1.11253,0.81766,0.76004,0.78931,0.48262,1.31032,0.84652,1.2946,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,10095.3,1.10625,0.71154,1.09646,0.79415,0.75536,0.78343,0.48224,1.32311,0.8506,1.31284,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,10239.2,1.11428,0.70517,1.10339,0.81221,0.7557,0.78814,0.48728,1.30375,0.829,1.29945,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
78,10383.6,1.11418,0.70865,1.10659,0.81242,0.76447,0.78747,0.48206,1.31127,0.83622,1.31538,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,10528.3,1.10707,0.69719,1.09812,0.79402,0.77615,0.77697,0.48858,1.2889,0.83132,1.30336,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
